day,load_after,overload_mass,violation_activation
2019-06-26,135204.70994287607,24311.638302895077,0.11682039141434135
2019-06-27,133662.26980419026,22766.997687150975,0.10939820227361552
2019-06-25,133662.21407844173,22766.94233061162,0.10939793619180968
2019-06-28,133662.20790853936,22766.935783786936,0.10939790484826697
2018-08-01,128563.72249946819,17659.750544044535,0.08485725025052425
2018-07-31,128563.6821972903,17659.710053325703,0.08485705587234625
2018-07-30,128563.67422701868,17659.70142150378,0.08485701456620132
2018-08-03,128563.66394265753,17659.691620908055,0.08485696687320794
2018-08-02,127018.6915838571,16119.792508163993,0.07745756850249827
2020-07-31,126261.33256938047,15347.433448430786,0.07374627990300119
2019-07-25,125831.47658630645,14924.054680045461,0.07171189614806481
2019-07-02,124092.1774033408,13179.003532699158,0.0633267095396838
2019-07-26,123931.0899378546,13018.361487633952,0.06255480632051895
2019-07-24,123931.03730089987,13018.311000677488,0.06255456337751444
2019-07-22,123208.68538384314,12294.301488102878,0.05907560921457642
