day,district_actual_energy,district_predicted_energy,district_stress_index
2018-06-01,126430.356,129261.2852843214,1.0359361833938519
2018-06-02,109943.448,112252.90919860924,0.8996262885231324
2018-06-03,107823.216,108273.53485521225,0.8677344667721218
2018-06-04,127241.976,126831.01312779814,1.016459300915859
2018-06-05,122618.74799999999,129501.83489145323,1.0378640153922796
2018-06-06,123069.648,121881.16825354332,0.9767898562236736
2018-06-07,124578.66,129343.52941891845,1.0365953109486614
2018-06-08,122640.792,125461.57956110299,1.0054842763416163
2018-06-09,109045.65599999999,111752.82906335483,0.8956185061034617
2018-06-10,110815.188,112366.54331251862,0.9005369841734789
2018-06-11,136267.992,137610.4224387683,1.102848509535317
2018-06-12,132981.432,138338.95311051785,1.1086871586089166
2018-06-13,122907.32400000001,122748.33830750607,0.9837396001789472
2018-06-14,118720.968,120574.21059908206,0.9663155311274787
2018-06-15,117153.84,115579.92873679235,0.9262899559536484
2018-06-16,113486.52,119561.66910431262,0.9582007396853841
2018-06-17,109326.216,108039.27576266581,0.8658570487213569
2018-06-18,128019.528,125862.02886508757,1.0086935893443458
2018-06-19,131720.916,127555.19726740924,1.0222631156621917
2018-06-20,131951.376,130223.41764574414,1.0436469819072631
2018-06-21,131889.252,131639.05935737304,1.054992331511147
2018-06-22,114260.06400000001,115532.32138289578,0.9259084172710597
2018-06-23,99017.64,101194.92736057483,0.8110045215637924
2018-06-24,96721.056,97798.22751170183,0.783782416585986
2018-06-25,111917.38799999999,111670.50353082902,0.8949587262028282
2018-06-26,117165.86400000002,122305.05256175328,0.9801869839211254
2018-06-27,119099.72400000002,121117.5521404443,0.9706700225856137
2018-06-28,117526.584,117394.0470501081,0.9408288087709284
2018-06-29,120492.50400000002,121491.35403776719,0.9736657757997822
2018-06-30,112662.87599999999,111566.14421141698,0.894122361356111
2018-07-01,97234.08,98304.11030782401,0.7878367031568391
2018-07-02,119995.512,120717.65148249171,0.9674651065860175
2018-07-03,128592.672,127554.5929734683,1.0222582726811131
2018-07-04,129438.36,126991.06896877571,1.0177420333029574
2018-07-05,130163.808,128946.46915099252,1.033413158631146
2018-07-06,116737.008,119554.19366354475,0.9581408294070574
2018-07-07,104095.776,101260.31122661769,0.8115285261990163
2018-07-08,99849.3,100157.1421869063,0.8026874202010126
2018-07-09,120530.58,116361.3143765256,0.9325521995604911
2018-07-10,126632.76000000001,125040.73381132421,1.002111500503403
2018-07-11,117871.272,119555.57955048954,0.958151936293617
2018-07-12,124270.04400000001,121877.95961877354,0.9767641413249706
2018-07-13,126354.20400000001,125698.40937656694,1.0073822968866382
2018-07-14,113949.44400000002,113341.1239132596,0.9083475463671054
2018-07-15,109915.392,109794.94996121539,0.8799275140159575
2018-07-16,127264.02,127238.16426925964,1.0197223243232334
2018-07-17,127853.196,132893.79550581938,1.0650481388159305
2018-07-18,132937.344,128592.32116389448,1.0305749173642114
2018-07-19,135758.976,134050.37831568936,1.0743173177444878
2018-07-20,136017.492,138312.62347972178,1.1084761455652428
2018-07-21,118139.808,114212.52729650217,0.9153312174101961
