regime,solver_used,solution_status,runtime_sec,peak_before,peak_after,peak_reduction_ratio,excess_sum_before,excess_sum_after,excess_reduction_ratio,variance_before,variance_after,variance_reduction_ratio,overload_days_before,overload_days_after,violation_days_after_thresholded,stress_ceiling_days_after,duration_threshold_days_after,total_shifted_out_energy,total_shifted_in_energy,total_storage_charge,total_storage_discharge,total_curtailment,curtailment_share_of_total_load,intervention_std,total_stress_slack,total_rolling_slack,total_overload_budget_slack,conservation_slack,terminal_soc_slack,objective_overload_l2_component,objective_overload_l1_component,objective_violation_activation_component,violation_activation_budget_used,violation_activation_budget_max,violation_threshold,stress_limit,reference_load,grid_capacity_proxy
baseline_convex,SCS,optimal,630.0905060768127,163867.1556340959,135234.2967045264,0.1747321409148316,5604145.2714991225,2105155.0158318672,0.6243575221830869,271442763.2237606,41672546.71221809,0.8464775917497354,375,517,79,39,79,5172801.117080878,3272940.378041665,1068055.2590462274,963948.7072333995,59009.0440035662,0.0008977083814126594,2984.4703603756366,317346.973876355,4546705.011729811,0.0,1900409.0436749388,0.00010464517361636629,7928512286.060644,579395.6794066225,33.85571417534291,33.85571417534291,589,109803.99456416741,114795.08522617503,106060.67656766169,124777.26655019024
threshold_only,SCS,optimal,594.418069601059,163867.1556340959,135205.33876240355,0.17490885687728788,5604145.2714991225,2116313.592374875,0.6223663931165803,271442763.2237606,41710932.160042904,0.846336179072643,375,517,63,39,84,5170570.352535434,3268152.70540108,1068535.8876723305,964398.2151232446,44698.700395693144,0.0006800042037800521,2968.481684356221,317590.79231679515,3852790.6498029465,0.0,1902670.0187182238,0.0,6742983621.386351,507227.821303267,20.0165286213544,20.0165286213544,589,110902.03450980909,114795.08522617503,106060.67656766169,124777.26655019024
sparse_budget_full,SCS,optimal,587.7307667732239,163867.1556340959,135204.70994287607,0.1749126942510743,5604145.2714991225,2116536.802345442,0.6223265636760941,271442763.2237606,41711633.102335505,0.8463335967886865,375,517,65,39,84,5170366.293229388,3268136.820023396,1068519.2126437544,964382.1031316059,44658.82546332538,0.0006793975838695069,2968.513888800694,317611.0937203306,3853211.8000495397,0.0,1902473.6816182153,0.0,6743494062.645796,507271.9597861485,2.4375083569708,2.4375083569708,236,110902.03450980909,114795.08522617503,106060.67656766169,124777.26655019024
