column,dtype,missing,n_unique
day,object,0,589
wd,int64,0,7
T1,float64,0,476
T2,float64,0,467
T3,float64,0,459
T4,float64,0,455
T5,float64,0,479
T6,float64,1,474
T7,float64,1,490
T8,float64,1,486
T9,float64,1,498
T10,float64,1,489
energy,float64,0,583
peak_power,float64,0,369
peak_duration,int64,0,27
peak_intensity,float64,0,66
is_peak,bool,0,2
activity,float64,0,10
