metric,before,after
Peak,163867.1556340959,135204.70994287607
Excess sum,5604145.2714991225,2116536.802345442
Variance,271442763.2237606,41711633.102335505
Raw overload days,375.0,517.0
Thresholded violation days,375.0,65.0
