day,load_before,load_after,shift_out,shift_in,charge,discharge,curtail,soc,excess,overload_mass,violation_activation,stress_slack
2018-06-01,129261.2852843214,109094.13555248015,15511.352377240459,0.0017982207843030478,0.001515730860928618,4655.800668552446,0.0,3292.516368230301,3033.479412723896,2.2689581839500302e-05,9.526653501920087e-09,0.0
2018-06-02,112252.90919860924,108919.80340303932,10460.180221175631,490.26639167715376,6636.809683329476,0.001649400911464816,0.0,9597.483801512848,2859.145486427062,2.2743451494201864e-05,9.543048220677807e-09,0.0
2018-06-03,108273.53485521225,108919.80499254579,8471.134875522455,2365.9329237298684,6751.473747536263,0.0016584101203007396,0.0,16011.382086285883,2859.1470771960144,2.2816891881097367e-05,9.565481142584879e-09,0.0
2018-06-04,126831.01312779814,109089.01720505311,15219.719668387435,0.0018482260583301804,0.0015312450021774634,2522.2796338286635,0.0,13356.352317583382,3028.361113022534,2.290988197291582e-05,9.59394973659488e-09,0.0
2018-06-05,129501.83489145323,109094.69330442933,15540.218259212652,0.0018688109770687421,0.0015376367839887376,4866.926734259001,0.0,8233.27297552257,3034.037225478787,2.29848349666791e-05,9.616815680778187e-09,0.0
2018-06-06,121881.16825354332,108922.57060655548,14625.740103611832,855.0442942354434,812.099767699169,0.0016053106013686604,0.0,9004.766035262763,2861.9127534660515,2.3043607017823094e-05,9.634769044845397e-09,0.0
2018-06-07,129343.52941891845,109094.4086210725,15521.22164839997,0.0018231107893674926,0.0015202291989151009,4727.902492785959,0.0,4028.027983539733,3033.752498689155,2.3131046650307104e-05,9.661496277623921e-09,0.0
2018-06-08,125461.57956110299,109086.21831442953,15055.387731737783,0.0017572855729062035,0.0014861034065583555,1319.9767583246614,0.0,2638.5801462687514,3025.562135813426,2.3202119907892703e-05,9.683217955147928e-09,0.0
2018-06-09,111752.82906335483,108919.92535484862,10231.472831721789,0.0001268620200314928,7398.570516074215,0.0015197206766711829,0.0,9667.220507228847,2859.2675502489,2.325654714481649e-05,9.699787915125726e-09,0.0
2018-06-10,112366.54331251862,108919.91260385819,10525.786688383334,2.1530100984642857e-05,7079.157396690538,0.001438497744060981,0.0,16392.418490346117,2859.2548880734826,2.3324148693880812e-05,9.720335269810642e-09,0.0
2018-06-11,137610.4224387683,112927.27245560172,16519.252018425384,0.0,0.0,7469.862720517654,694.0352442235268,8528.862223821081,6860.0111500766125,2005.363521273611,0.009636008203248099,0.0
2018-06-12,138338.95311051785,112927.27846539216,16606.675699260733,0.0,0.0,8107.321047997915,697.6778978670424,-5.702816954957544,6860.01713702451,2005.3695794731325,0.009636037319572388,0.0
2018-06-13,122748.33830750607,108923.871895794,14729.80062942655,731.1482878203527,174.1874427625731,0.0015128684459969378,0.0,159.77363183737833,2863.2139905684394,2.3481426950863503e-05,9.768411054462123e-09,0.0
2018-06-14,120574.21059908206,108920.37333092807,14468.905317874345,2655.7880034445393,159.28153395514818,0.0014876793223663766,0.0,311.0894938462475,2859.7153967688155,2.35171558601094e-05,9.779402038174195e-09,0.0
2018-06-15,115579.92873679235,108919.78059790249,12109.203822444668,68.96707203797621,5380.0900155359395,0.0014040191171878233,0.0,5422.1735014728165,2859.1227280438275,2.3475982988900704e-05,9.766804587343134e-09,0.0
2018-06-16,119561.66910431262,108919.78027146465,14099.750375952315,24.45845984479375,3433.404465754864,0.0013824953216461458,0.0,8683.906259513338,2859.1223932952275,2.3435621143591313e-05,9.754505373763568e-09,0.0
2018-06-17,108039.27576266581,108919.78090599876,8337.625324832563,1109.894541669892,8108.237265747161,0.0013392515452129777,0.0,16386.730223129096,2859.1230347922965,2.3394925897825654e-05,9.742123741923807e-09,0.0
2018-06-18,125862.02886508757,109463.40456891259,15103.457527391214,0.0,0.0,1295.1667687837617,0.0,15023.396719979652,3402.7185586638857,2.3336832050803665e-05,9.724451284037606e-09,0.0
2018-06-19,127555.19726740924,109466.99036577897,15306.637757061082,0.0,0.0,2781.569144569198,0.0,12095.429141309427,3406.3043258933044,2.3295015961026944e-05,9.711622005885923e-09,0.0
